Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Sales Manager,Telecommunications,Large,Canada,Medium,Low,Data Analysis,117056.8235,No,Stable
HR Manager,Entertainment,Large,Japan,Low,Medium,Cybersecurity,85897.03542,Yes,Stable
Data Scientist,Technology,Large,Japan,High,Medium,Sales,80591.82215,No,Decline
Marketing Specialist,Retail,Medium,Australia,High,Low,UX/UI Design,90541.08081,No,Growth
Sales Manager,Entertainment,Small,Singapore,High,High,Cybersecurity,92037.21413,No,Stable
Cybersecurity Analyst,Retail,Large,Australia,Medium,Medium,Communication,76744.30397,Yes,Decline
Data Scientist,Telecommunications,Medium,United Arab Emirates,Medium,Low,Project Management,80073.90538,No,Stable
HR Manager,Finance,Medium,Canada,High,Medium,Machine Learning,65462.48931,No,Decline
Software Engineer,Entertainment,Medium,Singapore,Low,High,Marketing,81307.0982,Yes,Decline
Operations Manager,Healthcare,Large,Germany,Low,Low,Machine Learning,103526.2012,Yes,Growth
UX Designer,Retail,Small,United States of America,Medium,Medium,Cybersecurity,87252.91652,Yes,Stable
Product Manager,Education,Large,Canada,Low,High,Machine Learning,110181.3059,Yes,Growth
UX Designer,Healthcare,Large,Australia,Medium,Medium,Python,86291.41065,No,Stable
HR Manager,Energy,Small,United States of America,High,High,Machine Learning,61369.64005,Yes,Growth
AI Researcher,Energy,Small,Singapore,Medium,High,JavaScript,101945.4978,No,Stable
AI Researcher,Technology,Small,Singapore,Medium,Low,Sales,76527.53718,Yes,Growth
Software Engineer,Finance,Medium,United States of America,High,High,Project Management,85332.65422,Yes,Decline
Product Manager,Telecommunications,Small,United Kingdom,Low,Medium,Machine Learning,114751.4409,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,Japan,Medium,High,Data Analysis,66782.59081,Yes,Stable
Software Engineer,Manufacturing,Small,Japan,Medium,High,Sales,93294.87575,Yes,Decline
UX Designer,Education,Large,United States of America,High,Low,Sales,89189.633,Yes,Growth
Software Engineer,Retail,Medium,United Arab Emirates,Low,High,Machine Learning,104018.5143,No,Stable
UX Designer,Telecommunications,Large,United Arab Emirates,Medium,High,Sales,107103.0673,Yes,Stable
Data Scientist,Healthcare,Large,Germany,High,Medium,Marketing,95276.78008,Yes,Growth
AI Researcher,Energy,Small,Canada,Medium,Low,Machine Learning,82792.50707,Yes,Decline
Data Scientist,Education,Small,France,High,Low,Python,99467.45008,Yes,Growth
Operations Manager,Manufacturing,Large,United Kingdom,Low,Low,Cybersecurity,116713.1179,No,Growth
Product Manager,Entertainment,Small,Australia,Low,High,JavaScript,89454.20121,Yes,Growth
Cybersecurity Analyst,Technology,Medium,France,Low,Low,UX/UI Design,84654.87771,Yes,Stable
UX Designer,Manufacturing,Medium,France,Low,High,Communication,97763.40515,Yes,Decline
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,90774.54041,Yes,Decline
UX Designer,Manufacturing,Medium,United States of America,Medium,Medium,Python,63245.81152,No,Growth
HR Manager,Education,Small,Japan,Low,Medium,Project Management,94786.61601,Yes,Stable
Software Engineer,Education,Large,Germany,Low,Medium,Project Management,63064.75182,No,Growth
Operations Manager,Transportation,Large,United Arab Emirates,Low,Medium,Communication,97489.61293,Yes,Stable
AI Researcher,Retail,Medium,United States of America,Medium,Medium,JavaScript,74057.14551,No,Stable
UX Designer,Energy,Small,Singapore,Low,High,Sales,90737.49608,No,Stable
Cybersecurity Analyst,Transportation,Small,Australia,Low,High,Marketing,97811.87812,Yes,Stable
Operations Manager,Entertainment,Medium,Germany,Low,Low,Communication,139078.0669,Yes,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,104854.9992,No,Stable
Marketing Specialist,Finance,Medium,Japan,Low,High,Sales,117295.9762,No,Stable
Data Scientist,Finance,Large,Japan,High,Medium,Python,127434.9564,Yes,Growth
AI Researcher,Energy,Small,Japan,High,High,Cybersecurity,99785.11834,No,Growth
HR Manager,Manufacturing,Large,United States of America,Low,Medium,Marketing,95713.79601,No,Decline
Cybersecurity Analyst,Retail,Medium,United States of America,High,Low,UX/UI Design,68665.57782,No,Growth
Software Engineer,Energy,Small,United Arab Emirates,Low,Low,Project Management,87667.40135,Yes,Stable
Software Engineer,Education,Medium,United Arab Emirates,Medium,High,Data Analysis,75538.24541,No,Growth
Cybersecurity Analyst,Healthcare,Medium,Australia,Medium,Low,Python,81978.823,No,Decline
Product Manager,Retail,Large,Germany,Medium,High,Project Management,127413.2675,No,Growth
HR Manager,Retail,Medium,United States of America,Medium,Low,Machine Learning,92292.43018,Yes,Growth
Operations Manager,Education,Large,United States of America,High,Medium,Data Analysis,72482.00845,Yes,Decline
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,117490.6691,No,Decline
Product Manager,Technology,Large,Japan,Low,Medium,JavaScript,109105.5095,Yes,Stable
UX Designer,Energy,Small,Germany,Low,Medium,Marketing,110153.0699,No,Growth
UX Designer,Education,Large,France,Medium,High,Project Management,49877.39594,Yes,Stable
Product Manager,Finance,Medium,United States of America,Medium,Low,UX/UI Design,128973.4192,Yes,Growth
Data Scientist,Entertainment,Large,Canada,Low,High,Cybersecurity,78829.70516,No,Growth
Marketing Specialist,Healthcare,Large,United Kingdom,Medium,Medium,JavaScript,105559.0955,Yes,Stable
UX Designer,Energy,Small,Australia,Low,High,Python,140475.9958,Yes,Growth
Product Manager,Telecommunications,Medium,Japan,Low,Low,Python,133106.655,Yes,Growth
Product Manager,Finance,Large,Japan,Low,High,Python,70448.75749,No,Growth
Sales Manager,Manufacturing,Medium,Japan,Low,Low,Python,61109.65326,Yes,Decline
Data Scientist,Education,Large,United States of America,Low,High,Cybersecurity,118606.932,Yes,Stable
AI Researcher,Telecommunications,Large,United States of America,Low,Low,Project Management,92841.11623,No,Decline
Sales Manager,Education,Medium,United Kingdom,Low,Low,Sales,79982.37117,Yes,Stable
Sales Manager,Retail,Large,France,Medium,Medium,Project Management,102424.3709,Yes,Stable
Cybersecurity Analyst,Finance,Medium,Germany,Low,Low,Machine Learning,86742.40845,Yes,Growth
Marketing Specialist,Retail,Large,Japan,Low,Medium,Marketing,104026.4827,Yes,Stable
Product Manager,Technology,Small,United States of America,Medium,Medium,Data Analysis,91339.63616,Yes,Decline
Marketing Specialist,Retail,Medium,United Arab Emirates,Medium,Medium,Sales,104447.7586,No,Decline
HR Manager,Technology,Large,United States of America,Medium,High,Sales,72109.34622,No,Decline
Cybersecurity Analyst,Technology,Large,Singapore,Low,High,Project Management,118489.2403,Yes,Stable
AI Researcher,Telecommunications,Small,United States of America,High,High,Sales,103952.4674,Yes,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,102925.9474,Yes,Stable
Software Engineer,Manufacturing,Large,Canada,Medium,Low,Communication,67646.60146,No,Decline
UX Designer,Retail,Small,United Arab Emirates,High,Low,Machine Learning,123992.6483,No,Decline
HR Manager,Finance,Large,United States of America,Medium,High,Data Analysis,89725.67801,Yes,Stable
Data Scientist,Technology,Medium,Canada,Low,Low,UX/UI Design,104560.9772,Yes,Decline
AI Researcher,Education,Large,Australia,High,Low,Cybersecurity,83543.51073,No,Growth
HR Manager,Healthcare,Large,Germany,Low,Medium,Project Management,95217.78129,Yes,Stable
UX Designer,Energy,Large,Canada,High,Medium,Cybersecurity,95942.54704,No,Stable
Cybersecurity Analyst,Telecommunications,Large,Germany,Low,Medium,UX/UI Design,33601.38136,No,Stable
UX Designer,Manufacturing,Small,United States of America,High,Medium,Project Management,101648.9625,Yes,Growth
Sales Manager,Transportation,Small,France,Low,Low,Project Management,129306.8292,No,Stable
UX Designer,Telecommunications,Medium,Canada,Low,High,Data Analysis,100795.6052,Yes,Decline
Sales Manager,Healthcare,Small,United Arab Emirates,High,Low,Cybersecurity,70845.83502,Yes,Decline
Cybersecurity Analyst,Energy,Small,United States of America,Low,Low,Communication,102999.2313,Yes,Decline
Operations Manager,Healthcare,Medium,Japan,Low,Low,Python,111189.6106,Yes,Stable
Sales Manager,Retail,Small,United States of America,Low,Medium,Cybersecurity,100249.3303,Yes,Decline
Data Scientist,Technology,Small,Canada,High,Medium,Marketing,88517.45787,Yes,Stable
UX Designer,Manufacturing,Medium,United Arab Emirates,High,Medium,Marketing,85157.01548,No,Decline
UX Designer,Entertainment,Medium,Australia,Low,High,Project Management,85073.80489,No,Growth
Data Scientist,Technology,Medium,Japan,Low,Low,Python,103955.538,No,Growth
Software Engineer,Entertainment,Large,Australia,High,High,JavaScript,61857.5201,No,Growth
Product Manager,Energy,Large,United States of America,High,Medium,UX/UI Design,82562.53678,Yes,Growth
Operations Manager,Education,Medium,United States of America,Low,High,Machine Learning,121912.1965,No,Stable
AI Researcher,Transportation,Medium,Canada,Low,Low,Python,122683.9053,No,Decline
Sales Manager,Finance,Medium,Canada,Low,Low,Machine Learning,60437.05824,No,Growth
Data Scientist,Technology,Large,France,Medium,Medium,Cybersecurity,67371.72777,Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,France,High,Medium,Cybersecurity,84587.58841,No,Growth
Sales Manager,Healthcare,Small,United States of America,Medium,High,Machine Learning,107851.7903,Yes,Growth
Product Manager,Manufacturing,Small,United States of America,High,Medium,UX/UI Design,53450.51292,No,Stable
Cybersecurity Analyst,Energy,Medium,United States of America,High,Medium,Python,88903.8273,Yes,Stable
HR Manager,Entertainment,Large,France,High,Low,JavaScript,80516.41687,Yes,Decline
UX Designer,Healthcare,Large,United Arab Emirates,High,Medium,Project Management,116519.2935,No,Decline
HR Manager,Finance,Large,United Arab Emirates,High,Medium,Data Analysis,56461.83052,Yes,Growth
Sales Manager,Finance,Medium,United States of America,High,Low,Cybersecurity,91850.81231,Yes,Growth
Product Manager,Technology,Small,United Arab Emirates,High,Low,Marketing,82127.81125,No,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119395.9785,No,Decline
Sales Manager,Education,Small,Germany,Low,Medium,Data Analysis,101953.0529,No,Stable
Data Scientist,Energy,Small,United States of America,Low,Low,JavaScript,78283.68681,Yes,Decline
Marketing Specialist,Entertainment,Medium,United States of America,Medium,High,Sales,107067.7289,Yes,Decline
Sales Manager,Manufacturing,Small,United Kingdom,Medium,High,Project Management,82223.42293,Yes,Growth
UX Designer,Finance,Small,Japan,Medium,Medium,Cybersecurity,109986.5942,No,Decline
UX Designer,Manufacturing,Large,Japan,Medium,Medium,Project Management,85258.46018,Yes,Growth
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,111093.3316,Yes,Decline
Cybersecurity Analyst,Manufacturing,Medium,France,Low,Low,Project Management,98721.6391,Yes,Stable
Marketing Specialist,Finance,Medium,United States of America,High,High,Sales,155209.8216,Yes,Decline
Data Scientist,Telecommunications,Small,United States of America,Low,Medium,Data Analysis,88942.07989,Yes,Decline
Sales Manager,Retail,Large,Australia,Low,Low,Cybersecurity,97657.24583,Yes,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80411.50517,Yes,Growth
UX Designer,Telecommunications,Small,United States of America,High,High,Marketing,90053.70682,No,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,35963.29732,No,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99311.68033,No,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,116857.4843,Yes,Stable
Marketing Specialist,Energy,Large,Japan,Medium,High,Data Analysis,97932.60009,Yes,Growth
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,63722.77084,No,Growth
Marketing Specialist,Energy,Medium,Germany,Low,Low,Communication,73964.25695,Yes,Stable
UX Designer,Finance,Medium,United States of America,Low,Medium,Cybersecurity,41396.15746,No,Decline
UX Designer,Education,Medium,Australia,Low,Medium,Data Analysis,109578.4801,Yes,Growth
HR Manager,Technology,Medium,Germany,Medium,High,Marketing,69869.73415,Yes,Growth
UX Designer,Transportation,Medium,Australia,High,High,Project Management,89425.8282,No,Decline
Data Scientist,Technology,Small,United Kingdom,Medium,High,Cybersecurity,86925.24855,No,Decline
AI Researcher,Entertainment,Small,Australia,High,Medium,Marketing,119754.5407,No,Stable
Sales Manager,Technology,Small,United States of America,Medium,Low,Cybersecurity,91705.62636,No,Stable
Marketing Specialist,Technology,Small,United States of America,Medium,Low,Marketing,106177.8584,No,Stable
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,100929.2753,Yes,Decline
Cybersecurity Analyst,Healthcare,Large,Canada,High,High,Marketing,117188.2284,Yes,Growth
Software Engineer,Manufacturing,Small,United Kingdom,Medium,High,Machine Learning,85217.52611,Yes,Growth
Data Scientist,Energy,Large,United States of America,Medium,High,Marketing,127392.3066,No,Stable
Marketing Specialist,Energy,Small,United Arab Emirates,Low,Medium,Python,50286.75687,No,Decline
AI Researcher,Finance,Small,Australia,Low,Low,Python,107149.47,No,Growth
Software Engineer,Transportation,Large,Canada,High,High,UX/UI Design,72667.60783,No,Stable
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,80145.00894,No,Growth
Data Scientist,Education,Small,Japan,High,High,Machine Learning,101388.2853,No,Growth
Data Scientist,Education,Small,United States of America,Medium,High,Project Management,101228.041,Yes,Decline
HR Manager,Finance,Small,France,High,Low,Machine Learning,102128.5603,Yes,Decline
Sales Manager,Transportation,Large,Canada,Low,High,Project Management,62276.84112,Yes,Growth
HR Manager,Finance,Medium,Japan,Medium,Low,UX/UI Design,118980.6046,Yes,Stable
Data Scientist,Energy,Large,United Kingdom,High,Low,UX/UI Design,71987.05764,Yes,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,74654.2582,No,Growth
AI Researcher,Retail,Medium,United States of America,Low,Medium,Python,102757.9348,No,Decline
UX Designer,Technology,Large,United States of America,High,Medium,Marketing,84265.5765,No,Decline
Software Engineer,Retail,Medium,United States of America,Medium,Low,Marketing,96165.21681,No,Decline
HR Manager,Transportation,Small,United Kingdom,Medium,High,Communication,46867.98607,No,Growth
Software Engineer,Retail,Medium,Australia,Low,Low,Communication,95686.48899,No,Stable
HR Manager,Education,Small,France,Medium,High,JavaScript,94356.63759,Yes,Stable
Cybersecurity Analyst,Entertainment,Large,United Kingdom,Medium,Low,Cybersecurity,79802.82924,No,Stable
Data Scientist,Technology,Large,United Arab Emirates,Medium,High,Sales,48518.4808,No,Decline
UX Designer,Manufacturing,Small,France,Low,Medium,JavaScript,85743.83477,No,Growth
AI Researcher,Transportation,Large,United States of America,High,High,JavaScript,89252.5228,No,Decline
UX Designer,Technology,Medium,Singapore,Medium,Low,Data Analysis,82655.42019,Yes,Stable
UX Designer,Retail,Small,United Kingdom,Low,Medium,Data Analysis,53276.51071,Yes,Stable
UX Designer,Education,Large,Japan,Low,High,JavaScript,121894.6801,No,Growth
Software Engineer,Healthcare,Small,France,High,High,Machine Learning,77222.76944,Yes,Decline
HR Manager,Telecommunications,Medium,United Arab Emirates,Medium,High,Cybersecurity,85555.90674,Yes,Stable
Operations Manager,Manufacturing,Medium,United States of America,Medium,High,Sales,41810.51358,No,Growth
Cybersecurity Analyst,Telecommunications,Large,Australia,High,High,JavaScript,121897.107,No,Decline
Marketing Specialist,Technology,Medium,Japan,High,Medium,Marketing,80669.00137,No,Decline
UX Designer,Education,Small,France,Low,Medium,Cybersecurity,91969.25634,No,Stable
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,112414.7489,No,Stable
Software Engineer,Retail,Small,Japan,High,Medium,Marketing,76473.91591,Yes,Decline
AI Researcher,Energy,Small,United States of America,Medium,Low,Data Analysis,109264.8997,No,Decline
Marketing Specialist,Retail,Medium,Japan,Low,Medium,Data Analysis,48773.49088,No,Stable
Operations Manager,Energy,Large,Germany,Low,High,Cybersecurity,101019.7332,No,Decline
Sales Manager,Energy,Medium,Canada,Medium,High,Data Analysis,121444.8433,Yes,Stable
Operations Manager,Manufacturing,Small,Australia,Low,Medium,UX/UI Design,78391.66306,No,Decline
Marketing Specialist,Retail,Small,United States of America,Medium,High,Python,112377.6324,No,Stable
UX Designer,Healthcare,Medium,Japan,Medium,Medium,UX/UI Design,126678.453,No,Growth
Sales Manager,Finance,Large,Canada,Medium,High,Python,84903.16324,Yes,Stable
Operations Manager,Finance,Large,Canada,High,Low,Communication,83249.43428,No,Stable
AI Researcher,Retail,Small,Japan,High,Low,Communication,72034.12508,No,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,79805.3969,No,Decline
Data Scientist,Telecommunications,Large,Germany,Medium,Medium,Sales,73692.80219,Yes,Growth
HR Manager,Manufacturing,Medium,United Kingdom,Medium,Medium,Sales,72017.77803,No,Stable
Marketing Specialist,Retail,Small,Germany,High,High,Python,113976.7059,No,Decline
Software Engineer,Telecommunications,Small,Japan,Low,Medium,Marketing,74201.47949,No,Growth
Data Scientist,Energy,Large,Australia,Medium,Low,Cybersecurity,95170.43829,Yes,Decline
Cybersecurity Analyst,Education,Medium,United Kingdom,Low,High,Data Analysis,90764.6687,No,Decline
AI Researcher,Education,Large,United States of America,Low,Medium,Cybersecurity,119961.8913,No,Growth
Cybersecurity Analyst,Energy,Medium,Germany,Medium,High,UX/UI Design,79936.87536,No,Decline
Sales Manager,Transportation,Medium,Japan,Medium,High,Sales,97622.96093,Yes,Growth
Data Scientist,Telecommunications,Medium,Germany,Low,Medium,Machine Learning,105821.394,Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,United Kingdom,Low,High,UX/UI Design,119794.9921,No,Decline
Cybersecurity Analyst,Energy,Large,United Arab Emirates,High,Low,UX/UI Design,79644.9331,Yes,Stable
Operations Manager,Healthcare,Large,France,High,Low,Python,77642.15063,Yes,Stable
HR Manager,Entertainment,Medium,Germany,Medium,High,Project Management,68764.37892,Yes,Decline
